video_stem,n_frames,duplications_needed,case
d4360,8,1,1_duplication
d4362,4,5,5_duplications
d4365,8,1,1_duplication
d4366,4,5,5_duplications
d4368,7,2,2_duplications
d4369,9,0,0_duplications (super-image complète)
d437,9,0,0_duplications (super-image complète)
d4370,7,2,2_duplications
d4371,9,0,0_duplications (super-image complète)
d4373,6,3,3_duplications
d4374,5,4,4_duplications
d4375,3,6,6_duplications
d4376,6,3,3_duplications
d4379,8,1,1_duplication
d4381,9,0,0_duplications (super-image complète)
d4387,5,4,4_duplications
d4389,6,3,3_duplications
d4392,5,4,4_duplications
d4393,7,2,2_duplications
d4394,6,3,3_duplications
d4395,5,4,4_duplications
d4397,9,0,0_duplications (super-image complète)
d4399,9,0,0_duplications (super-image complète)
d440,9,0,0_duplications (super-image complète)
d4400,3,6,6_duplications
d4401,8,1,1_duplication
d4403,8,1,1_duplication
d4404,9,0,0_duplications (super-image complète)
d4406,5,4,4_duplications
d4407,8,1,1_duplication
d4408,7,2,2_duplications
d4409,6,3,3_duplications
d4410,6,3,3_duplications
d4411,7,2,2_duplications
d4415,5,4,4_duplications
d4418,6,3,3_duplications
d4419,6,3,3_duplications
d4422,2,7,7_duplications
d4423,9,0,0_duplications (super-image complète)
d4424,6,3,3_duplications
d4425,6,3,3_duplications
d4426,9,0,0_duplications (super-image complète)
d4428,9,0,0_duplications (super-image complète)
d4429,4,5,5_duplications
d443,9,0,0_duplications (super-image complète)
d4430,7,2,2_duplications
d4431,3,6,6_duplications
d4434,5,4,4_duplications
d4435,8,1,1_duplication
d4436,7,2,2_duplications
d4438,9,0,0_duplications (super-image complète)
d4439,7,2,2_duplications
d4440,5,4,4_duplications
d4441,8,1,1_duplication
d4442,7,2,2_duplications
d4443,5,4,4_duplications
d4445,7,2,2_duplications
d4446,5,4,4_duplications
d4450,7,2,2_duplications
d4451,4,5,5_duplications
d4453,6,3,3_duplications
d4454,6,3,3_duplications
d4455,4,5,5_duplications
d4456,6,3,3_duplications
d4458,3,6,6_duplications
d4459,6,3,3_duplications
d446,9,0,0_duplications (super-image complète)
d4460,4,5,5_duplications
d4461,5,4,4_duplications
d4462,6,3,3_duplications
d4464,9,0,0_duplications (super-image complète)
d4466,9,0,0_duplications (super-image complète)
d4467,4,5,5_duplications
d4469,8,1,1_duplication
d447,9,0,0_duplications (super-image complète)
d4470,9,0,0_duplications (super-image complète)
d4471,9,0,0_duplications (super-image complète)
d4472,8,1,1_duplication
d4475,4,5,5_duplications
d4480,8,1,1_duplication
d4483,6,3,3_duplications
d4484,5,4,4_duplications
d4486,9,0,0_duplications (super-image complète)
d4487,6,3,3_duplications
d4488,4,5,5_duplications
d4492,6,3,3_duplications
d4495,8,1,1_duplication
d4496,8,1,1_duplication
d4498,5,4,4_duplications
d4501,8,1,1_duplication
d4503,4,5,5_duplications
d4505,9,0,0_duplications (super-image complète)
d4507,5,4,4_duplications
d4508,7,2,2_duplications
d4510,8,1,1_duplication
d4512,7,2,2_duplications
d4513,9,0,0_duplications (super-image complète)
d4516,4,5,5_duplications
d4517,8,1,1_duplication
d451_2,9,0,0_duplications (super-image complète)
d452,5,4,4_duplications
d4520,7,2,2_duplications
d4521,5,4,4_duplications
d4524,4,5,5_duplications
d4525,9,0,0_duplications (super-image complète)
d4529,5,4,4_duplications
d453,9,0,0_duplications (super-image complète)
d4530,6,3,3_duplications
d4532,7,2,2_duplications
d4533,4,5,5_duplications
d4534,9,0,0_duplications (super-image complète)
d4535,8,1,1_duplication
d4537,1,8,8_duplications (9x la même photo)
d4538,8,1,1_duplication
d4539,8,1,1_duplication
d4540,7,2,2_duplications
d4542,6,3,3_duplications
d4548,6,3,3_duplications
d4550,8,1,1_duplication
d4552,8,1,1_duplication
d4553,9,0,0_duplications (super-image complète)
d4557,7,2,2_duplications
d4558,6,3,3_duplications
d4559,7,2,2_duplications
d4562,5,4,4_duplications
d4564,5,4,4_duplications
d4568,5,4,4_duplications
d4569,9,0,0_duplications (super-image complète)
d457,9,0,0_duplications (super-image complète)
d4570,6,3,3_duplications
d4572,2,7,7_duplications
d4574,8,1,1_duplication
d4577,8,1,1_duplication
d4578,8,1,1_duplication
d4580,6,3,3_duplications
d4582,8,1,1_duplication
d4583,9,0,0_duplications (super-image complète)
d4585,6,3,3_duplications
d4588,8,1,1_duplication
d4589,9,0,0_duplications (super-image complète)
d4590,8,1,1_duplication
d4591,9,0,0_duplications (super-image complète)
d4592,9,0,0_duplications (super-image complète)
d4594,7,2,2_duplications
d4595,9,0,0_duplications (super-image complète)
d460,9,0,0_duplications (super-image complète)
d4600,8,1,1_duplication
d4601,6,3,3_duplications
d4602,4,5,5_duplications
d4604,7,2,2_duplications
d4607,9,0,0_duplications (super-image complète)
d4608,5,4,4_duplications
d4609,8,1,1_duplication
d461,9,0,0_duplications (super-image complète)
d4610,9,0,0_duplications (super-image complète)
d4612,8,1,1_duplication
d4613,8,1,1_duplication
d4614,8,1,1_duplication
d4618,6,3,3_duplications
d462,8,1,1_duplication
d4621,8,1,1_duplication
d4623,6,3,3_duplications
d4624,6,3,3_duplications
d4626,6,3,3_duplications
d4627,7,2,2_duplications
d463,5,4,4_duplications
d4630,7,2,2_duplications
d4631,9,0,0_duplications (super-image complète)
d4632,9,0,0_duplications (super-image complète)
d4634,7,2,2_duplications
d4635,8,1,1_duplication
d4636,5,4,4_duplications
d4638,5,4,4_duplications
d464,8,1,1_duplication
d4641,9,0,0_duplications (super-image complète)
d4642,4,5,5_duplications
d4643,8,1,1_duplication
d4644,8,1,1_duplication
d4648,1,8,8_duplications (9x la même photo)
d4649,6,3,3_duplications
d4653,6,3,3_duplications
d4654,7,2,2_duplications
d4658,8,1,1_duplication
d4660,8,1,1_duplication
d4662,5,4,4_duplications
d4663,6,3,3_duplications
d4664,4,5,5_duplications
d4665,9,0,0_duplications (super-image complète)
d4666,5,4,4_duplications
d4667,9,0,0_duplications (super-image complète)
d4671,7,2,2_duplications
d4673,5,4,4_duplications
d4674,5,4,4_duplications
d4675,7,2,2_duplications
d4676,8,1,1_duplication
d4677,4,5,5_duplications
d4678,5,4,4_duplications
d4680,9,0,0_duplications (super-image complète)
d4681,9,0,0_duplications (super-image complète)
d4682,9,0,0_duplications (super-image complète)
d4685,8,1,1_duplication
d4686,6,3,3_duplications
d469,7,2,2_duplications
d4693,5,4,4_duplications
d4696,6,3,3_duplications
d4697,6,3,3_duplications
d4698,8,1,1_duplication
d4699,5,4,4_duplications
d470,7,2,2_duplications
d4701,6,3,3_duplications
d471,2,7,7_duplications
d472,8,1,1_duplication
d4739,3,6,6_duplications
d4743,7,2,2_duplications
d4744,6,3,3_duplications
d4747,5,4,4_duplications
d4748,6,3,3_duplications
d4750,7,2,2_duplications
d4751,6,3,3_duplications
d4753,9,0,0_duplications (super-image complète)
d4756,9,0,0_duplications (super-image complète)
d4757,7,2,2_duplications
d4758,7,2,2_duplications
d4759,5,4,4_duplications
d4760,6,3,3_duplications
d4762,7,2,2_duplications
d4764,8,1,1_duplication
d4765,7,2,2_duplications
d4766,8,1,1_duplication
d4767,6,3,3_duplications
d4768,9,0,0_duplications (super-image complète)
d4769,6,3,3_duplications
d4772,8,1,1_duplication
d4773,8,1,1_duplication
d4774,7,2,2_duplications
d4775,5,4,4_duplications
d4776,9,0,0_duplications (super-image complète)
d4777,8,1,1_duplication
d4778,9,0,0_duplications (super-image complète)
d4779,6,3,3_duplications
d4780,9,0,0_duplications (super-image complète)
d4783,9,0,0_duplications (super-image complète)
d4785,9,0,0_duplications (super-image complète)
d4786,9,0,0_duplications (super-image complète)
d4787,5,4,4_duplications
d4789,8,1,1_duplication
d4791,7,2,2_duplications
d4795,9,0,0_duplications (super-image complète)
d4796,9,0,0_duplications (super-image complète)
d4797,6,3,3_duplications
d4798,4,5,5_duplications
d4799,5,4,4_duplications
d4800,8,1,1_duplication
d4802,6,3,3_duplications
d4807,7,2,2_duplications
d4808,6,3,3_duplications
d4810,8,1,1_duplication
d4811,6,3,3_duplications
d4812,7,2,2_duplications
d4813,5,4,4_duplications
d4814,9,0,0_duplications (super-image complète)
d4815,9,0,0_duplications (super-image complète)
d4816,8,1,1_duplication
d4820,9,0,0_duplications (super-image complète)
d4823,7,2,2_duplications
d4824,3,6,6_duplications
d4826,7,2,2_duplications
d4827,8,1,1_duplication
d4831,9,0,0_duplications (super-image complète)
d4835,8,1,1_duplication
d4836,5,4,4_duplications
d4838,8,1,1_duplication
d4839,9,0,0_duplications (super-image complète)
d4840,6,3,3_duplications
d4844,8,1,1_duplication
d4849,2,7,7_duplications
d4851,7,2,2_duplications
d4852,8,1,1_duplication
d4853,8,1,1_duplication
d4854,9,0,0_duplications (super-image complète)
d4857,2,7,7_duplications
d4860,6,3,3_duplications
d4861,9,0,0_duplications (super-image complète)
d4862,4,5,5_duplications
d4865,8,1,1_duplication
d4867,7,2,2_duplications
d4869,6,3,3_duplications
d4870,9,0,0_duplications (super-image complète)
d4872,6,3,3_duplications
d4873,9,0,0_duplications (super-image complète)
d4874,8,1,1_duplication
d4875,8,1,1_duplication
d4876,9,0,0_duplications (super-image complète)
d4878,7,2,2_duplications
d4884,7,2,2_duplications
d4885,6,3,3_duplications
d4889,8,1,1_duplication
d4893,5,4,4_duplications
d4894,5,4,4_duplications
d4897,9,0,0_duplications (super-image complète)
d4898,4,5,5_duplications
d4899,9,0,0_duplications (super-image complète)
d4903,6,3,3_duplications
d4904,5,4,4_duplications
d4906,9,0,0_duplications (super-image complète)
d4908,9,0,0_duplications (super-image complète)
d4909,8,1,1_duplication
d4910,9,0,0_duplications (super-image complète)
d4911,6,3,3_duplications
d4913,8,1,1_duplication
d4916,4,5,5_duplications
d4917,9,0,0_duplications (super-image complète)
d4918,7,2,2_duplications
d4923,8,1,1_duplication
d4925,9,0,0_duplications (super-image complète)
d4927,9,0,0_duplications (super-image complète)
d4930,8,1,1_duplication
d4931,7,2,2_duplications
d4933,9,0,0_duplications (super-image complète)
d4934,8,1,1_duplication
d4935,5,4,4_duplications
d4936,8,1,1_duplication
d4937,8,1,1_duplication
d4938,9,0,0_duplications (super-image complète)
d4939,8,1,1_duplication
d4940,9,0,0_duplications (super-image complète)
d4943,9,0,0_duplications (super-image complète)
d4944,8,1,1_duplication
d4949,8,1,1_duplication
d4950,7,2,2_duplications
d4951,9,0,0_duplications (super-image complète)
d4952,8,1,1_duplication
d4953,8,1,1_duplication
d4954,2,7,7_duplications
d4957,9,0,0_duplications (super-image complète)
d4959,6,3,3_duplications
d4967,9,0,0_duplications (super-image complète)
d4968,7,2,2_duplications
d4969,8,1,1_duplication
d4970,9,0,0_duplications (super-image complète)
d4973,8,1,1_duplication
d4975,9,0,0_duplications (super-image complète)
d4980,9,0,0_duplications (super-image complète)
d4981,9,0,0_duplications (super-image complète)
d4982,8,1,1_duplication
d4985,8,1,1_duplication
d4986,6,3,3_duplications
d4988,9,0,0_duplications (super-image complète)
d4989,8,1,1_duplication
d4992,6,3,3_duplications
d4993,8,1,1_duplication
d4995,9,0,0_duplications (super-image complète)
d4998,4,5,5_duplications
d5000,9,0,0_duplications (super-image complète)
d5003,8,1,1_duplication
d5007,9,0,0_duplications (super-image complète)
d5009,8,1,1_duplication
d5010,8,1,1_duplication
d5011,9,0,0_duplications (super-image complète)
d5013,6,3,3_duplications
d5016,8,1,1_duplication
d5017,7,2,2_duplications
d5018,9,0,0_duplications (super-image complète)
d5020,9,0,0_duplications (super-image complète)
d5023,5,4,4_duplications
d5024,9,0,0_duplications (super-image complète)
d5026,9,0,0_duplications (super-image complète)
d5027,6,3,3_duplications
d5029,7,2,2_duplications
d5032,6,3,3_duplications
d5033,9,0,0_duplications (super-image complète)
d5037,8,1,1_duplication
d5038,5,4,4_duplications
d5040,8,1,1_duplication
d5042,7,2,2_duplications
d5047,9,0,0_duplications (super-image complète)
d5051,6,3,3_duplications
d5052,9,0,0_duplications (super-image complète)
d5055,9,0,0_duplications (super-image complète)
d5057,6,3,3_duplications
d5058,7,2,2_duplications
d5059,7,2,2_duplications
d5060,8,1,1_duplication
d5062,9,0,0_duplications (super-image complète)
d5064,9,0,0_duplications (super-image complète)
d5065,9,0,0_duplications (super-image complète)
d5066,8,1,1_duplication
d5067,8,1,1_duplication
d5068,5,4,4_duplications
d5071,9,0,0_duplications (super-image complète)
d5072,9,0,0_duplications (super-image complète)
d5073,8,1,1_duplication
d5074,8,1,1_duplication
d5076,8,1,1_duplication
d5078,9,0,0_duplications (super-image complète)
d5079,9,0,0_duplications (super-image complète)
d5080,7,2,2_duplications
d5082,5,4,4_duplications
d5085,7,2,2_duplications
d5086,9,0,0_duplications (super-image complète)
d5089,6,3,3_duplications
d5090,9,0,0_duplications (super-image complète)
d5091,9,0,0_duplications (super-image complète)
d5092,8,1,1_duplication
d5093,8,1,1_duplication
d5094,7,2,2_duplications
d5095,9,0,0_duplications (super-image complète)
d5097,5,4,4_duplications
d5098,7,2,2_duplications
d5100,7,2,2_duplications
d5101,8,1,1_duplication
d5102,8,1,1_duplication
d5105,9,0,0_duplications (super-image complète)
d5106,7,2,2_duplications
d5107,9,0,0_duplications (super-image complète)
d5109,9,0,0_duplications (super-image complète)
d5110,8,1,1_duplication
d5111,4,5,5_duplications
d5113,8,1,1_duplication
d5115,8,1,1_duplication
d5117,9,0,0_duplications (super-image complète)
d5121,6,3,3_duplications
d5122,4,5,5_duplications
d5124,5,4,4_duplications
d5125,7,2,2_duplications
d5126,5,4,4_duplications
d5127,5,4,4_duplications
d5128,6,3,3_duplications
d5129,4,5,5_duplications
d5130,6,3,3_duplications
d5131,5,4,4_duplications
d5132,5,4,4_duplications
d5133,5,4,4_duplications
d5134,5,4,4_duplications
d5135,6,3,3_duplications
d5136,6,3,3_duplications
d5137,8,1,1_duplication
d5142,8,1,1_duplication
d5143,7,2,2_duplications
d5144,8,1,1_duplication
d5145,7,2,2_duplications
d5146,7,2,2_duplications
d5147,5,4,4_duplications
d5148,9,0,0_duplications (super-image complète)
d5151,6,3,3_duplications
d5154,8,1,1_duplication
d5156,8,1,1_duplication
d5170,9,0,0_duplications (super-image complète)
d5174,7,2,2_duplications
d5176,9,0,0_duplications (super-image complète)
d5177,7,2,2_duplications
d5178,7,2,2_duplications
d5181,9,0,0_duplications (super-image complète)
d5188,9,0,0_duplications (super-image complète)
d5190,9,0,0_duplications (super-image complète)
d5191,8,1,1_duplication
d5197,8,1,1_duplication
d5198,9,0,0_duplications (super-image complète)
d5203,6,3,3_duplications
d5204,2,7,7_duplications
d5205,4,5,5_duplications
d5211,9,0,0_duplications (super-image complète)
d5213,8,1,1_duplication
d5215,5,4,4_duplications
d5216,3,6,6_duplications
d5220,9,0,0_duplications (super-image complète)
d5221,9,0,0_duplications (super-image complète)
d5223,6,3,3_duplications
d5224,8,1,1_duplication
d5225,6,3,3_duplications
d5226,7,2,2_duplications
d5228,6,3,3_duplications
d5230,9,0,0_duplications (super-image complète)
d5231,9,0,0_duplications (super-image complète)
d5232,9,0,0_duplications (super-image complète)
d5235,8,1,1_duplication
d5238,9,0,0_duplications (super-image complète)
d5239,9,0,0_duplications (super-image complète)
d5242,6,3,3_duplications
d5243,5,4,4_duplications
d5244,7,2,2_duplications
d5245,7,2,2_duplications
d5246,9,0,0_duplications (super-image complète)
d5248,7,2,2_duplications
d5249,9,0,0_duplications (super-image complète)
d5251,7,2,2_duplications
d5252,9,0,0_duplications (super-image complète)
d5253,9,0,0_duplications (super-image complète)
d5254,9,0,0_duplications (super-image complète)
d5255,7,2,2_duplications
d5256,9,0,0_duplications (super-image complète)
d5260,9,0,0_duplications (super-image complète)
d5261,9,0,0_duplications (super-image complète)
d5262,9,0,0_duplications (super-image complète)
d5263,8,1,1_duplication
d5265,6,3,3_duplications
d5266,9,0,0_duplications (super-image complète)
d5267,8,1,1_duplication
d5268,9,0,0_duplications (super-image complète)
d5269,9,0,0_duplications (super-image complète)
d5271,9,0,0_duplications (super-image complète)
d5272,9,0,0_duplications (super-image complète)
d5273,9,0,0_duplications (super-image complète)
d5274,9,0,0_duplications (super-image complète)
d5275,9,0,0_duplications (super-image complète)
d5276,9,0,0_duplications (super-image complète)
d5279,9,0,0_duplications (super-image complète)
d5280,7,2,2_duplications
d5283,8,1,1_duplication
d5284,8,1,1_duplication
d5285,8,1,1_duplication
d5286,8,1,1_duplication
d5287,8,1,1_duplication
d5288,8,1,1_duplication
d5291,7,2,2_duplications
d5295,9,0,0_duplications (super-image complète)
d5297,9,0,0_duplications (super-image complète)
d5300,9,0,0_duplications (super-image complète)
d5302,7,2,2_duplications
d5314,8,1,1_duplication
d5328,8,1,1_duplication
d5329,8,1,1_duplication
d5338,4,5,5_duplications
d5339,5,4,4_duplications
d5340,4,5,5_duplications
d5341,4,5,5_duplications
d5342,5,4,4_duplications
d5343,5,4,4_duplications
d5344,7,2,2_duplications
d5347,4,5,5_duplications
d5350,5,4,4_duplications
d5351,4,5,5_duplications
d5352,5,4,4_duplications
d5353,3,6,6_duplications
d5354,6,3,3_duplications
d5357,5,4,4_duplications
d5358,4,5,5_duplications
d5359,5,4,4_duplications
d5360,3,6,6_duplications
d5361,5,4,4_duplications
d5363,6,3,3_duplications
d5364,4,5,5_duplications
d5367,9,0,0_duplications (super-image complète)
d5368,9,0,0_duplications (super-image complète)
d5369,9,0,0_duplications (super-image complète)
d5373,4,5,5_duplications
d5374,2,7,7_duplications
d5375,4,5,5_duplications
d5378,6,3,3_duplications
d5379,5,4,4_duplications
d5380,8,1,1_duplication
d5382,5,4,4_duplications
d5383,4,5,5_duplications
d5396,6,3,3_duplications
d5417,5,4,4_duplications
d5418,5,4,4_duplications
d5423,4,5,5_duplications
d5427,7,2,2_duplications
d5428,4,5,5_duplications
d5431,8,1,1_duplication
d5432,9,0,0_duplications (super-image complète)
d5433,5,4,4_duplications
d5434,8,1,1_duplication
d5444,6,3,3_duplications
d5446,3,6,6_duplications
d5448,5,4,4_duplications
d5450,4,5,5_duplications
d5451,9,0,0_duplications (super-image complète)
d5452,5,4,4_duplications
d5455,6,3,3_duplications
d5456,5,4,4_duplications
d5457,3,6,6_duplications
d5458,4,5,5_duplications
d5460,5,4,4_duplications
d5461,4,5,5_duplications
d5469,5,4,4_duplications
d5470,6,3,3_duplications
d5471,4,5,5_duplications
d5473,5,4,4_duplications
d5474,6,3,3_duplications
d5476,4,5,5_duplications
d5477,6,3,3_duplications
d5481,4,5,5_duplications
d5482,6,3,3_duplications
d5483,3,6,6_duplications
d5486,6,3,3_duplications
d5488,5,4,4_duplications
d5489,4,5,5_duplications
d5497,4,5,5_duplications
d5501,5,4,4_duplications
d5505,7,2,2_duplications
d5512,6,3,3_duplications
d5523,6,3,3_duplications
d5525,6,3,3_duplications
d5528,4,5,5_duplications
d5530,9,0,0_duplications (super-image complète)
d5534,6,3,3_duplications
d5538,7,2,2_duplications
d5539,8,1,1_duplication
d5540,8,1,1_duplication
d5543,4,5,5_duplications
d5544,4,5,5_duplications
d5545,7,2,2_duplications
d5547,6,3,3_duplications
d5548,4,5,5_duplications
d5549,7,2,2_duplications
d5550,4,5,5_duplications
d5553,7,2,2_duplications
d5554,7,2,2_duplications
d5555,4,5,5_duplications
d5558,7,2,2_duplications
d5559,6,3,3_duplications
d5560,4,5,5_duplications
d5561,7,2,2_duplications
d5562,6,3,3_duplications
d5563,6,3,3_duplications
d5564,7,2,2_duplications
d5565,6,3,3_duplications
d5566,6,3,3_duplications
d5567,4,5,5_duplications
d5569,9,0,0_duplications (super-image complète)
d5571,8,1,1_duplication
d5574,9,0,0_duplications (super-image complète)
d5602,8,1,1_duplication
d5611,9,0,0_duplications (super-image complète)
d5624,9,0,0_duplications (super-image complète)
d5627,4,5,5_duplications
d5633,9,0,0_duplications (super-image complète)
d5635,7,2,2_duplications
d5636,5,4,4_duplications
d5640,7,2,2_duplications
d5644,9,0,0_duplications (super-image complète)
d5646,2,7,7_duplications
d5648,8,1,1_duplication
d5649,8,1,1_duplication
d5664,9,0,0_duplications (super-image complète)
d5677,9,0,0_duplications (super-image complète)
d5678,9,0,0_duplications (super-image complète)
d5682,9,0,0_duplications (super-image complète)
d5683,8,1,1_duplication
d5684,8,1,1_duplication
d5704,7,2,2_duplications
d5709,9,0,0_duplications (super-image complète)
d5711,7,2,2_duplications
d5713,9,0,0_duplications (super-image complète)
d5715,9,0,0_duplications (super-image complète)
d5721,8,1,1_duplication
d5722,8,1,1_duplication
d5724,8,1,1_duplication
d5727,9,0,0_duplications (super-image complète)
d5728,9,0,0_duplications (super-image complète)
d5730,9,0,0_duplications (super-image complète)
d5732,6,3,3_duplications
d5733,9,0,0_duplications (super-image complète)
d5735,9,0,0_duplications (super-image complète)
d5736,8,1,1_duplication
d5737,5,4,4_duplications
d5739,8,1,1_duplication
d5740,5,4,4_duplications
d5746,9,0,0_duplications (super-image complète)
d5748,7,2,2_duplications
d5751,8,1,1_duplication
d5759,8,1,1_duplication
d5774,7,2,2_duplications
d5776,8,1,1_duplication
d5778,8,1,1_duplication
d5779,8,1,1_duplication
d5781,7,2,2_duplications
d5784,8,1,1_duplication
d5785,9,0,0_duplications (super-image complète)
d5789,8,1,1_duplication
d5791,9,0,0_duplications (super-image complète)
d5792,9,0,0_duplications (super-image complète)
d5794,5,4,4_duplications
d5796,8,1,1_duplication
d5797,9,0,0_duplications (super-image complète)
d5800,8,1,1_duplication
d5804,8,1,1_duplication
d5807,4,5,5_duplications
d5808,1,8,8_duplications (9x la même photo)
d5811,6,3,3_duplications
d5812,9,0,0_duplications (super-image complète)
d5813,9,0,0_duplications (super-image complète)
d5817,8,1,1_duplication
d5824,8,1,1_duplication
d5826,7,2,2_duplications
d5827,9,0,0_duplications (super-image complète)
d5831,9,0,0_duplications (super-image complète)
d5832,9,0,0_duplications (super-image complète)
d5834,9,0,0_duplications (super-image complète)
d5835,9,0,0_duplications (super-image complète)
d5837,8,1,1_duplication
d5840,9,0,0_duplications (super-image complète)
d5842,7,2,2_duplications
d5843,6,3,3_duplications
d5844,6,3,3_duplications
d5845,8,1,1_duplication
d5847,9,0,0_duplications (super-image complète)
d5851,8,1,1_duplication
d5853,9,0,0_duplications (super-image complète)
d5855,9,0,0_duplications (super-image complète)
d5858,8,1,1_duplication
d5859,9,0,0_duplications (super-image complète)
d5861,8,1,1_duplication
d5863,8,1,1_duplication
d5864,7,2,2_duplications
d5868,9,0,0_duplications (super-image complète)
d5870,8,1,1_duplication
d5871,5,4,4_duplications
d5892,9,0,0_duplications (super-image complète)
d5898,9,0,0_duplications (super-image complète)
d5904,4,5,5_duplications
d5905,8,1,1_duplication
d5906,4,5,5_duplications
d5909,4,5,5_duplications
d5911,3,6,6_duplications
d5915,7,2,2_duplications
d5924,9,0,0_duplications (super-image complète)
d5927,8,1,1_duplication
d5928,9,0,0_duplications (super-image complète)
d5930,3,6,6_duplications
d5931,8,1,1_duplication
d5937,5,4,4_duplications
d5945,8,1,1_duplication
d5946,7,2,2_duplications
d5947,6,3,3_duplications
d5948,5,4,4_duplications
d5949,8,1,1_duplication
d5950,8,1,1_duplication
d5951,9,0,0_duplications (super-image complète)
d5957,9,0,0_duplications (super-image complète)
d5961,9,0,0_duplications (super-image complète)
d5962,9,0,0_duplications (super-image complète)
d5966,9,0,0_duplications (super-image complète)
d5969,4,5,5_duplications
d5970,6,3,3_duplications
d5971,7,2,2_duplications
d5972,6,3,3_duplications
d5973,6,3,3_duplications
d5976,9,0,0_duplications (super-image complète)
d5980,9,0,0_duplications (super-image complète)
d5981,8,1,1_duplication
d5982,3,6,6_duplications
d5984,8,1,1_duplication
d5990,7,2,2_duplications
d5992,8,1,1_duplication
d5993,7,2,2_duplications
d5996,9,0,0_duplications (super-image complète)
d5997,9,0,0_duplications (super-image complète)
d5998,8,1,1_duplication
d5999,9,0,0_duplications (super-image complète)
d6002,7,2,2_duplications
d6006,9,0,0_duplications (super-image complète)
d6007,6,3,3_duplications
d6008,9,0,0_duplications (super-image complète)
d6010,9,0,0_duplications (super-image complète)
d6012,8,1,1_duplication
d6013,6,3,3_duplications
d6014,8,1,1_duplication
d6015,9,0,0_duplications (super-image complète)
d6016,9,0,0_duplications (super-image complète)
d6019,8,1,1_duplication
d6020,6,3,3_duplications
d6021,4,5,5_duplications
d6022,8,1,1_duplication
d6023,6,3,3_duplications
d6027,7,2,2_duplications
d6029,9,0,0_duplications (super-image complète)
d6030,8,1,1_duplication
d6032,7,2,2_duplications
d6033,9,0,0_duplications (super-image complète)
d6034,8,1,1_duplication
d6038,8,1,1_duplication
d6039,6,3,3_duplications
d6041,9,0,0_duplications (super-image complète)
d6043,9,0,0_duplications (super-image complète)
d6044,4,5,5_duplications
d6045,6,3,3_duplications
d6046,8,1,1_duplication
d6049,5,4,4_duplications
d6052,9,0,0_duplications (super-image complète)
d6056,9,0,0_duplications (super-image complète)
d6059,8,1,1_duplication
d6063,7,2,2_duplications
d6064,9,0,0_duplications (super-image complète)
d6065,8,1,1_duplication
d6067,9,0,0_duplications (super-image complète)
d6068,7,2,2_duplications
d6071,9,0,0_duplications (super-image complète)
d6078,9,0,0_duplications (super-image complète)
d6079,6,3,3_duplications
d6080,4,5,5_duplications
d6081,8,1,1_duplication
d6084,8,1,1_duplication
d6088,9,0,0_duplications (super-image complète)
d6090,6,3,3_duplications
d6091,8,1,1_duplication
d6092,9,0,0_duplications (super-image complète)
d6097,8,1,1_duplication
d6102,9,0,0_duplications (super-image complète)
d6104,8,1,1_duplication
d6105,9,0,0_duplications (super-image complète)
d6112,9,0,0_duplications (super-image complète)
d6116,4,5,5_duplications
d6119,8,1,1_duplication
d6120,8,1,1_duplication
d6123,9,0,0_duplications (super-image complète)
d6129,8,1,1_duplication
d6137,9,0,0_duplications (super-image complète)
d6142,9,0,0_duplications (super-image complète)
d6144,7,2,2_duplications
d6148,8,1,1_duplication
d6150,4,5,5_duplications
d6155,9,0,0_duplications (super-image complète)
d6157,9,0,0_duplications (super-image complète)
d6160,7,2,2_duplications
d6165,9,0,0_duplications (super-image complète)
d6179,6,3,3_duplications
d6185,7,2,2_duplications
d6186,5,4,4_duplications
d6188,7,2,2_duplications
d6195,7,2,2_duplications
d6196,8,1,1_duplication
d6199,8,1,1_duplication
d6201,9,0,0_duplications (super-image complète)
d6202,7,2,2_duplications
d6203,9,0,0_duplications (super-image complète)
d6205,8,1,1_duplication
d6207,9,0,0_duplications (super-image complète)
d6208,9,0,0_duplications (super-image complète)
d6209,7,2,2_duplications
d6212,9,0,0_duplications (super-image complète)
d6213,7,2,2_duplications
d6221,9,0,0_duplications (super-image complète)
d6223,4,5,5_duplications
d6224,9,0,0_duplications (super-image complète)
d6225,9,0,0_duplications (super-image complète)
d6227,7,2,2_duplications
d6228,7,2,2_duplications
d6231,9,0,0_duplications (super-image complète)
d6236,9,0,0_duplications (super-image complète)
d6237,8,1,1_duplication
d6240,7,2,2_duplications
d6241,9,0,0_duplications (super-image complète)
d6243,8,1,1_duplication
d6244,8,1,1_duplication
d6246,7,2,2_duplications
d6248,7,2,2_duplications
d6251,8,1,1_duplication
d6252,8,1,1_duplication
d6257,9,0,0_duplications (super-image complète)
d6258,8,1,1_duplication
d6261,5,4,4_duplications
d6262,9,0,0_duplications (super-image complète)
d6263,8,1,1_duplication
d6270,7,2,2_duplications
d6272,6,3,3_duplications
d6274,9,0,0_duplications (super-image complète)
d6275,5,4,4_duplications
d6276,8,1,1_duplication
d6282,7,2,2_duplications
d6285,8,1,1_duplication
d6286,9,0,0_duplications (super-image complète)
d6287,4,5,5_duplications
d6290,8,1,1_duplication
d6291,8,1,1_duplication
d6294,8,1,1_duplication
d6295,6,3,3_duplications
d6296,6,3,3_duplications
d6297,8,1,1_duplication
d6300,7,2,2_duplications
d6303,6,3,3_duplications
d6308,5,4,4_duplications
d6310,7,2,2_duplications
